	SYMBOL	FDR	FC	avg.CDK4_inhib	avg.Untreated	NAME
r8u95aKFSWXUNXhJ18	TMUB1	0.590792873030895	1.15	445.99	388.52	transmembrane and ubiquitin-like domain containing 1
ZSGY24kKU_H7pEBHuo	TBC1D7	0.590792873030895	-1.2	203.55	243.3	TBC1 domain family, member 7
HdbiArlVguAiOl66Ak	NA	0.590792873030895	-1.21	71.67	86.83	NA
lPneje9fpLodICUE7o	LCP1	0.591348135400867	1.25	135.4	108.59	lymphocyte cytosolic protein 1 (L-plastin)
oB6l_EC7AWTo6n1UKM	COX5A	0.591348135400867	-1.13	1797	2032.6	cytochrome c oxidase subunit Va
HJZJxKKOdmKFVInWVo	YDJC	0.591391210425342	-1.16	90.63	104.77	YdjC homolog (bacterial)
fRp1U6UTHXkCf8559k	AHCYL2	0.591450517385119	1.14	87.55	76.48	adenosylhomocysteinase-like 2
HXU3o74.fF.7y7vWXU	NA	0.591516479870419	1.16	98.5	85.25	NA
cNeHntOm5XeiClejuM	S100A4	0.591519057882812	1.28	6550.83	5125.44	S100 calcium binding protein A4
K4f_6XqoqsudRJ.19U	NCOA3	0.591519057882812	1.16	103.15	88.82	nuclear receptor coactivator 3
xl9s.uCh0lF9ffRVOc	SPRY1	0.591519057882812	-1.16	89.02	103.23	sprouty RTK signaling antagonist 1
Zm6KV6Hnnb38o6Hves	TMEM87A	0.591519057882812	-1.16	716.91	834.36	transmembrane protein 87A
oE6KFQSiluneOeJgnM	CDK10	0.591547487438224	1.14	165.64	145.31	cyclin-dependent kinase 10
cnYeiPgUg6nxoCAoSU	FKBP3	0.591547487438224	-1.15	405.93	468.36	FK506 binding protein 3, 25kDa
cSSIonfreOojonXldI	NA	0.591719723170068	1.16	90.97	78.53	NA
c_lzXBVMjXdDrgjklM	NA	0.591719723170068	1.14	260.69	227.82	NA
Qd6pkoqIL5wuere9Po	ZCWPW1	0.591719723170068	1.15	131.61	114.07	zinc finger, CW type with PWWP domain 1
Tq9AOOgpYIkKfM66yo	MED1	0.591719723170068	-1.15	203.68	234.4	mediator complex subunit 1
HUuYZ6fCieiq9cMRPw	RAB43	0.591721895244378	1.15	97.8	85.07	RAB43, member RAS oncogene family
0C3Sunm7rp05ew1QT0	YRDC	0.591721895244378	1.14	679.55	598.42	yrdC N(6)-threonylcarbamoyltransferase domain containing
BrDYHur1ZRvSDp_h0I	WTAP	0.591721895244378	1.14	120.93	106.46	Wilms tumor 1 associated protein
6hOi5K6Ee7ge._tLz4	TROVE2	0.591721895244378	1.14	438	384.79	TROVE domain family, member 2
BX_f27hRO.3sUtHqgI	UBP1	0.591776322292672	-1.14	395.15	448.68	upstream binding protein 1 (LBP-1a)
