	SYMBOL	FDR	FC	avg.CDK4_inhib	avg.Untreated	NAME
QXoWYNLu_pNLv95Cr4	C20orf24	0.0858337799214925	-1.39	2637.43	3659.92	chromosome 20 open reading frame 24
BSUuUH2eUH_uU_v33o	MAGED1	0.0860286590863111	1.44	3596.61	2489.22	melanoma antigen family D1
ltUElOBTkfOjFSX.Kk	ZFP90	0.0860286590863111	1.35	201.87	149.19	ZFP90 zinc finger protein
oFRSiFK7eC6Hu4l6k8	ZNHIT1	0.0860909800188067	1.42	1199.59	847.6	zinc finger, HIT-type containing 1
cNN7k4aoq6BK1aKLbg	PSMG3	0.0860909800188067	-1.63	120.55	196.95	proteasome (prosome, macropain) assembly chaperone 3
3H5erRMnCgiuh_VJ.k	TAP2	0.0860909800188067	-1.51	95.07	143.29	transporter 2, ATP-binding cassette, sub-family B (MDR/TAP)
oOlWe61Xd7V1N7O73s	KIAA0319L	0.0862664240222861	1.47	311.03	211.27	KIAA0319-like
0nyEXG6A1SW514SZ_o	PIGG	0.0863374556807615	1.35	235.57	174.35	phosphatidylinositol glycan anchor biosynthesis, class G
3J9Komqirj1S66oATw	LHFPL1	0.0864185054729865	1.39	99.32	71.56	lipoma HMGIC fusion partner-like 1
Zr.dcToWElA3l9F6Rk	TAP2	0.0864606873732852	-1.36	106.72	144.99	transporter 2, ATP-binding cassette, sub-family B (MDR/TAP)
QStf58UCilQ.R0Dv_I	TRA2B	0.0864634668122598	-1.5	527.43	792.06	transformer 2 beta homolog (Drosophila)
oZAURF5QokEg19Shb0	NR2C2	0.0864634668122598	-1.5	93.04	139.22	nuclear receptor subfamily 2, group C, member 2
HeSgFUku4GTVBMrwiQ	COL15A1	0.0864634668122598	1.5	120.77	80.47	collagen, type XV, alpha 1
xI7v9InKxIoO.nF.Jo	FAM198B	0.0868014740946476	1.68	525.97	312.16	family with sequence similarity 198, member B
0kEp0etGj_7e4f_4Co	RECK	0.0871529846949085	1.38	203.26	147.65	reversion-inducing-cysteine-rich protein with kazal motifs
9oizg6tTCVagOjELII	RPF1	0.0871864920337559	-1.45	198.07	287.24	ribosome production factor 1 homolog
iSehC.8DhFFCXupfdc	BCCIP	0.0872327905468703	-1.42	325.81	461.56	BRCA2 and CDKN1A interacting protein
9YWnbPWNLZ9T7yTbEY	NACC2	0.0872515560882944	1.48	155.4	105.16	NACC family member 2, BEN and BTB (POZ) domain containing
Z2vQnW6lEeee5QgrsQ	SLC41A3	0.0872515560882944	1.36	340.03	249.97	solute carrier family 41, member 3
uzciH5dqVdfqgr_bkg	SPECC1L	0.0872515560882944	1.36	184.28	135.74	sperm antigen with calponin homology and coiled-coil domains 1-like
ulQHtA7Re87PbVz18E	FAR2	0.0872515560882944	-1.4	78.85	110.18	fatty acyl CoA reductase 2
NhSJ6XgDx67h.w8vSs	DUSP11	0.0872554937881736	-1.38	61.18	84.41	dual specificity phosphatase 11 (RNA/RNP complex 1-interacting)
iSpBJUVXLEHjnV4hBc	LAS1L	0.0874491097934739	-1.37	202.7	278.31	LAS1-like, ribosome biogenesis factor
cV7JJ18_eiCiALlQjU	TCEAL8	0.0879087784769746	1.36	553.4	406.33	transcription elongation factor A (SII)-like 8
6gXEdSlA0QOGlSBJCk	LETM2	0.0879087784769746	-1.52	107.6	163.34	leucine zipper-EF-hand containing transmembrane protein 2
El3_iTFR4669EJxUZU	ZNF295-AS1	0.0879696804826306	1.43	154.33	107.75	ZNF295 antisense RNA 1
QIV92FGoJN9SC7j6gw	YY1	0.0880134465699831	-1.43	654.41	932.85	YY1 transcription factor
xt.it_o4NIDc1Kc31I	FTH1	0.0880957931113369	1.57	1109.89	706.78	ferritin, heavy polypeptide 1
Nzhfjn6JPdPYikSDQU	CSTF3	0.0883020057769916	-1.41	201.15	282.94	cleavage stimulation factor, 3' pre-RNA, subunit 3, 77kDa
rsSn.JFgu610hS5eUE	CLN5	0.0884232972485511	1.36	233.24	171.9	ceroid-lipofuscinosis, neuronal 5
3r5f6ZURS97fTtnk24	UGGT1	0.0884232972485511	1.46	152.86	104.86	UDP-glucose glycoprotein glucosyltransferase 1
rpUbpNjXV5WYLhL8QA	ACTN1	0.0884232972485511	1.5	779.56	518.98	actinin, alpha 1
xIJSq55XdUa5QZf7u8	TPI1P2	0.0884232972485511	1.43	711.52	498.53	triosephosphate isomerase 1 pseudogene 2
od6Lrsx5RNLv4tLVSI	TUBB	0.0884232972485511	-1.42	2179.82	3088.53	tubulin, beta class I
uA4QImLpJ5DoAVQfGo	FAM96A	0.0886210157503181	-1.44	215.56	310.99	family with sequence similarity 96, member A
Bl3rB_quj9fqd3K7Hk	ZNF275	0.0886394275330962	1.37	180.39	131.41	zinc finger protein 275
uiXrhEuRAggCa0AXBE	PAK1IP1	0.0888354805359363	-1.43	103.83	148.97	PAK1 interacting protein 1
NpdZqVZSJeZWpXhZF0	NME2	0.0889946562896715	1.41	235.73	166.88	NME/NM23 nucleoside diphosphate kinase 2
oi5daXVTUXeXCwN53Q	ANKRD33	0.0889946562896715	1.34	200.62	149.84	ankyrin repeat domain 33
xfqXIWbjAHq_KjnoFI	TBX2	0.0891195067406302	-1.83	157.39	287.45	T-box 2
rURSUXUU5bgv4VSIjQ	NA	0.0895273579503764	1.43	248.99	173.98	NA
BK36id_iu3s0uj9U1U	IL13RA1	0.0895715496018023	1.39	802.43	576.32	interleukin 13 receptor, alpha 1
fI115cJVQMnqHEjkZw	C17orf104	0.0895945041549127	1.5	93.97	62.61	chromosome 17 open reading frame 104
HVdKIiAHy59SV9_iX0	C11orf68	0.089673859988941	1.36	312.67	230.62	chromosome 11 open reading frame 68
frnd.e33Eji0Rf4nw0	SIAH1	0.0898486253769889	1.37	197.28	144.46	siah E3 ubiquitin protein ligase 1
6pu4U2ZKum.5cM9Ka4	HIST1H2AB	0.0899799592836581	1.38	127.59	92.34	histone cluster 1, H2ab
fW1HXXHs.z6ErSHZao	SMARCA4	0.0899799592836581	-1.36	411.09	559.23	SWI/SNF related, matrix associated, actin dependent regulator of chromatin, subfamily a, member 4
ZkgQBi1JhiiJeIAiIk	DNAJC1	0.0900212118070773	1.4	162.19	115.63	DnaJ (Hsp40) homolog, subfamily C, member 1
iL3o6P66XhOMV5Se4o	PAK1	0.0900212118070773	-1.44	147.05	211.14	p21 protein (Cdc42/Rac)-activated kinase 1
ETeEeX1d.le6x57eUo	PDLIM7	0.0901401678990163	1.57	239.72	152.7	PDZ and LIM domain 7 (enigma)
HpXlFIC2JHrXLSnuOA	GPN2	0.0901890190412704	-1.34	229.14	307.32	GPN-loop GTPase 2
NFN_lLhC72ipJIihQk	COPS3	0.0901890190412704	-1.38	697.14	959.82	COP9 signalosome subunit 3
352KZNKVv.xS.M0a30	RHBDF2	0.0902039890964879	1.38	220.13	159.97	rhomboid 5 homolog 2 (Drosophila)
rovILO7vEVTtLue7qk	NA	0.0903305313516833	-1.37	83.29	114.32	NA
0SXIpJz.FN6z863D_w	PMAIP1	0.090437761125677	-1.58	75.21	119.16	phorbol-12-myristate-13-acetate-induced protein 1
WmeX99JBIV0BQignI4	SEC31A	0.0904484977270565	1.46	615.22	422.17	SEC31 homolog A, COPII coat complex component
ZgejrRgtPVQdckL_Hg	INIP	0.0904484977270565	-1.35	143.11	192.9	INTS3 and NABP interacting protein
WeyXq7G.R0L3XHih34	NCOA7	0.090455331691769	1.34	361.27	268.74	nuclear receptor coactivator 7
TU_i6VA39TcqQteApU	RAD23A	0.0904947964906977	-1.43	839.66	1198.96	RAD23 homolog A, nucleotide excision repair protein
EkXS67tPBOS6rwzeKU	NSUN2	0.0905119537404559	-1.42	969.31	1377.83	NOP2/Sun RNA methyltransferase family, member 2
3mt2UmkgcXmzuiyzSE	ERMARD	0.0905355903029171	1.36	150.31	110.34	ER membrane-associated RNA degradation
feh8QDlCquHoL7ozSo	KLF4	0.0905355903029171	1.44	207.85	144.07	Kruppel-like factor 4 (gut)
NtdHuDoUKASt3pXiZE	CRYAB	0.0905355903029171	1.64	846.87	514.86	crystallin, alpha B
Nokkjp3a9Su6hziiog	DNPH1	0.0905355903029171	1.43	389.31	271.4	2'-deoxynucleoside 5'-phosphate N-hydrolase 1
QBBnlu7edxepCdCh1c	TRAPPC12	0.0905787527463981	1.37	356.05	260.59	trafficking protein particle complex 12
WVUs_yJC37vAJUu4S4	HNRNPD	0.0909049257560537	-1.38	1644.06	2271.63	heterogeneous nuclear ribonucleoprotein D (AU-rich element RNA binding protein 1, 37kDa)
TUIdM9NSfrtC6nvnlI	AZIN1	0.0909320807108678	-1.41	81.57	114.63	antizyme inhibitor 1
lXuUO5yJ4VgUBKhT8Y	TRUB1	0.0909320807108678	-1.35	74.84	101.17	TruB pseudouridine (psi) synthase family member 1
W.lXdFJboJSSzYndEs	TUBB	0.0909627596247466	-1.45	1641.25	2378	tubulin, beta class I
o1WI6r6Kofb96t9d9U	TADA3	0.090988014091141	1.53	425.58	278.22	transcriptional adaptor 3
HIC4mKLSAdJR6_X6yk	RAB28	0.0910030428180967	-1.38	77.85	107.25	RAB28, member RAS oncogene family
9eAUiN7DTdz6XquXuc	TMEM43	0.0911162102488686	1.36	1379.38	1014.69	transmembrane protein 43
0onl4o7AV5QAog8Xd4	AVIL	0.0914821151275017	1.35	137.62	101.95	advillin
QrjxXuzCLO7dHkX0Ok	RAP1A	0.0914887315251748	-1.39	77.88	108.13	RAP1A, member of RAS oncogene family
HUgn802vPCifZCnHgk	MZT1	0.0916352880401792	-1.37	115.7	158.8	mitotic spindle organizing protein 1
oJMPx_hB9srJfB96UI	SLK	0.0918665178631474	-1.42	137.08	194.41	STE20-like kinase
i6SQgrik0qBqDSnqHg	C10orf10	0.091877983023798	1.76	191.83	109.3	chromosome 10 open reading frame 10
Nd63i0H9nqgBc6BceQ	SLC38A1	0.091877983023798	1.44	219.36	152.37	solute carrier family 38, member 1
Qqh_QpdF7_lOPjhuHk	HSD11B1L	0.0918872108166491	1.41	153.49	108.85	hydroxysteroid (11-beta) dehydrogenase 1-like
rvRN_9VP3R_7RSe.uU	TRAM1	0.0918872108166491	1.33	2541.83	1905.93	translocation associated membrane protein 1
rVPdO.Eqvuqkiqt7g0	MYBL2	0.0918872108166491	-1.5	58.62	87.88	v-myb avian myeloblastosis viral oncogene homolog-like 2
EA6JXik0nPMfqHcXdE	BZW2	0.0919294350179981	-1.46	853.75	1242.34	basic leucine zipper and W2 domains 2
i4I6_njQjhHiwV9IHI	NA	0.0919719220547964	-1.36	307.3	419.14	NA
oxei.DEuJ3JCopnl.4	MAPK1	0.0920801845293223	-1.47	96.27	141.37	mitogen-activated protein kinase 1
0U17LMrDovqoJJ9T3o	NDUFA10	0.0922077149955575	1.5	967.72	645.97	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 10, 42kDa
0E90qLerOeoA0lI5a4	NA	0.0923457389516302	-1.54	595.69	918.89	NA
uEGOv.TNPrbr7LW5iA	NA	0.0923457389516302	-1.58	234.08	370.82	NA
3UdTfQFV0X9U1x15Tk	MLF2	0.0923457389516302	1.38	828.75	602.72	myeloid leukemia factor 2
W86SN38b.90Tc3nLUo	HOOK3	0.0925131768562608	-1.42	72.12	102.62	hook microtubule-tethering protein 3
6vS1wCreogUjjscrgk	SUMF2	0.0925131768562608	1.43	300.05	209.93	sulfatase modifying factor 2
WpIADoapJ9EKQt9Odo	RHEB	0.092612620436986	-1.4	1275.22	1780.07	Ras homolog enriched in brain
KxAVOPtKiuUvEkrj0k	SNX5	0.092612620436986	-1.44	179.15	258.09	sorting nexin 5
Wp7sk10uQBUnUg.0Xo	RWDD2A	0.0926487124528323	1.36	232.08	170.32	RWD domain containing 2A
Qv9W.zupDDtA7nOSUo	CHD1	0.0926803339402461	-1.45	123.8	178.98	chromodomain helicase DNA binding protein 1
EUoUKdKji6iI6vMe1c	EXO5	0.0926803339402461	-1.41	120.87	170.24	exonuclease 5
uLV.46guS0km6K7epQ	ARFGAP1	0.0927500154463045	1.39	295.13	211.69	ADP-ribosylation factor GTPase activating protein 1
fRUktbn9c3ZTuCDop0	CGGBP1	0.092860978932669	-1.34	201.43	269.22	CGG triplet repeat binding protein 1
cVpQTQuH8yeQgO6zug	NA	0.0931491500256548	-1.62	1177.84	1903.21	NA
KZEx15E71Tk7u5HaFg	MGRN1	0.0931491500256548	1.39	1014.78	730.2	mahogunin ring finger 1, E3 ubiquitin protein ligase
WVONp1S5FV8KsJKUTM	SNX29	0.093214401666022	1.35	166.5	123.2	sorting nexin 29
fnu6X4sDVvF3eJdrxU	B4GAT1	0.0932293061483048	1.45	240.8	166.46	beta-1,4-glucuronyltransferase 1
QCu4orpfgqoplpoQ6I	NA	0.0932759080890338	1.48	107.45	72.55	NA
ZfV1_9Y95vVNtIQf6I	CEP41	0.0935083474041413	-1.41	183.7	259.38	centrosomal protein 41kDa
cel7jH6nuNdyJSfodE	RPAIN	0.0935083474041413	-1.43	336.7	479.91	RPA interacting protein
onpNudCxNOnr5V_.eo	ESPL1	0.0935668336871976	-1.42	86.75	123.53	extra spindle pole bodies like 1, separase
r55UN9FJ9IDeF.ljnk	UPF2	0.0936690922205976	-1.6	306.49	489.79	UPF2 regulator of nonsense transcripts homolog (yeast)
looGm36dWp7mSZSbpY	NA	0.0936690922205976	-1.41	62.02	87.19	NA
TUgq8.9QURc9XcuVIw	FASTKD2	0.0936690922205976	-1.4	104.65	147.03	FAST kinase domains 2
KWIGdwl7UYnQyoJe44	MGP	0.0936955125422057	1.71	160.67	94.21	matrix Gla protein
Nv1IAL6n9UJL3PFa9I	GFM1	0.0936960021176404	-1.42	285.72	405.49	G elongation factor, mitochondrial 1
oURj71Ht6CRTVc2Sh0	OSBPL6	0.0936960021176404	-1.47	75.32	111.03	oxysterol binding protein-like 6
EH07iSk6rdXiJ4wWoA	NA	0.0938501089448498	-1.5	95.73	143.22	NA
WgOJJ.ow4YSQVghKgM	ZNF226	0.0939493184334698	1.42	193.96	136.71	zinc finger protein 226
BZWDenaaDF3yEJEV6o	FTH1P2	0.0939493184334698	1.39	1725.64	1241.59	ferritin, heavy polypeptide 1 pseudogene 2
rlSIie13T6uB4_KCrc	VAMP2	0.0940750025945775	1.43	200.58	140.31	vesicle-associated membrane protein 2 (synaptobrevin 2)
roSL6CKIeopJCKrRMU	VEGFB	0.0941139708919964	1.37	288.49	211.24	vascular endothelial growth factor B
NdFQumk3waT66Ceq0g	LAMTOR2	0.0941390251124052	1.34	1207.7	902.21	late endosomal/lysosomal adaptor, MAPK and MTOR activator 2
c.X.ui5dNEoa4d6qUk	GNB1L	0.0941658587288149	-1.5	116.4	174.79	guanine nucleotide binding protein (G protein), beta polypeptide 1-like
QkqUd_kiH_r_yq10Lk	SDF2L1	0.0942500185408774	-1.36	529.21	717.14	stromal cell-derived factor 2-like 1
WxFEbxB5OJ9d2RCFJ4	ADARB1	0.0942500185408774	1.62	271.55	167.93	adenosine deaminase, RNA-specific, B1
WQnpIpT_6AuiJxuuls	HMGCL	0.0943044268489223	1.33	178.33	133.99	3-hydroxymethyl-3-methylglutaryl-CoA lyase
cKfyV6FSSuKdp_jz3k	MAPK7	0.0943139658135519	1.35	270.36	200.96	mitogen-activated protein kinase 7
KS4ltNmUcJQjZlHkdQ	CD68	0.0943704146931663	1.36	490.2	360.3	CD68 molecule
ZsSVaCAZdAJPggZS_c	TRIM24	0.0944457740939291	-1.43	97.2	138.98	tripartite motif containing 24
ZTS4KQRUpqSIKnSpFI	FADS3	0.0945589598099281	1.37	153.97	112.4	fatty acid desaturase 3
Q91CSC4mep7.LlKea4	PRDX1	0.0947984517696286	-1.44	3465.56	4980.28	peroxiredoxin 1
fnXu8QqIHT_I0t76T4	ZNF217	0.0950615578676492	-1.46	207.64	304.14	zinc finger protein 217
0bnp_pP8ThMgpNZzgU	OSGEPL1	0.095262225155569	-1.45	78.14	113.21	O-sialoglycoprotein endopeptidase-like 1
cro.rQUiI5XTWfUook	MICAL1	0.0952693632371247	1.39	150.61	107.99	microtubule associated monooxygenase, calponin and LIM domain containing 1
E1Qn9Xn18EGTKOE8As	METTL21A	0.0954142580966926	-1.38	83.32	114.77	methyltransferase like 21A
uYRwCXvvVN5lpdbTg4	LIPE	0.0954229072164475	1.42	117.7	82.96	lipase, hormone-sensitive
ifLKBjiRDl6HVRWle8	MTHFD1	0.0954229072164475	-1.34	83.36	111.79	methylenetetrahydrofolate dehydrogenase (NADP+ dependent) 1, methenyltetrahydrofolate cyclohydrolase, formyltetrahydrofolate synthetase
chz.FUSog9bshAko1U	STT3B	0.0954229072164475	-1.32	127.54	168.71	STT3B, subunit of the oligosaccharyltransferase complex (catalytic)
rt4pe60oDBxwkDnlTY	PPP2R1B	0.0954229072164475	-1.36	85.88	116.61	protein phosphatase 2, regulatory subunit A, beta
fdpVJc.Vl1P479Sv9A	RER1	0.095620412373639	1.44	250.11	174.11	retention in endoplasmic reticulum sorting receptor 1
c6RnniGEcUMBQHlGRE	TOM1L2	0.0956374043272017	-1.37	73.08	100.26	target of myb1 like 2 membrane trafficking protein
WJene55q53r6WHmO4s	RNH1	0.0956374043272017	1.5	570.66	380.87	ribonuclease/angiogenin inhibitor 1
o6gqbp3gN7RpPfRunk	EIF4G3	0.0956493425851561	1.37	408.01	296.89	eukaryotic translation initiation factor 4 gamma, 3
Kr0aqQuElev3eCnocM	BCCIP	0.0956493425851561	-1.43	184.76	263.38	BRCA2 and CDKN1A interacting protein
cR4NJTsmje0vxJdgok	GMCL1	0.0956493425851561	-1.41	103.98	146.75	germ cell-less, spermatogenesis associated 1
ohS5Ax.iJF6txKEw_k	TMEM64	0.0957032307058203	-1.44	92.24	132.49	transmembrane protein 64
foUkJ1L33AyuRKVIro	NA	0.0957199251185242	1.39	114.79	82.65	NA
6p_lFeWeVJRNX6.7P8	FAM65A	0.0957199251185242	1.37	406.01	297.13	family with sequence similarity 65, member A
NXkoAIoPYIcPKpUmgE	TWF1	0.0957199251185242	-1.37	69.2	95.13	twinfilin actin binding protein 1
HuhqHTsKHQ.qgiT0uk	ATG14	0.0957199251185242	1.4	209.52	150.14	autophagy related 14
fR9Jzvd8TgVUSRE6l4	OR10AD1	0.0957199251185242	1.48	114.44	77.53	olfactory receptor, family 10, subfamily AD, member 1
00CpxY9XvTXkeCROOE	GPR137C	0.0957199251185242	-1.39	87.07	121.06	G protein-coupled receptor 137C
3ene_nuE3PU3uLh3_E	NA	0.0958018141278369	-1.43	303	432.45	NA
BKSy96AJR6iQhK5wL4	NA	0.0958141625283732	-1.38	133.54	184.74	NA
ZQrSiiQA4lJFJl_n_4	NA	0.0959466410686849	1.36	205.23	150.65	NA
3hfnCnAg1eASmbT3d4	CCDC109B	0.0959657325364965	-1.49	343.01	511.9	coiled-coil domain containing 109B
06Xqf3il83jl3kvTtU	SEPN1	0.0960172611737719	1.43	370.25	259.54	selenoprotein N, 1
6hvwI7qJAJ4SJLUEVY	ZAK	0.0962904180545754	-1.34	124.51	167.02	sterile alpha motif and leucine zipper containing kinase AZK
lsCU7xiXwoT4LbwrV4	SNORA33	0.0964154415725727	-1.38	100.67	138.62	small nucleolar RNA, H/ACA box 33
ulXud57eilG6O9OI5M	ABCB9	0.0964353281725062	1.45	208.23	143.4	ATP-binding cassette, sub-family B (MDR/TAP), member 9
6UWSSUSkiihihh6g1w	WASH3P	0.0966132338177554	1.45	176.81	122.24	WAS protein family homolog 3 pseudogene
oQuEsSJEkmF_peAkuo	POLR1A	0.0966132338177554	-1.37	65.85	90.51	polymerase (RNA) I polypeptide A, 194kDa
ZiCpSdZmpNNXFI_Lv8	FAAP20	0.0966132338177554	1.39	236.94	170.54	Fanconi anemia core complex associated protein 20
6d4iRIopAJ97qO5y2k	ARMCX3	0.0966193118837507	1.4	184.49	132.13	armadillo repeat containing, X-linked 3
xKun5LV6V966k.rO18	SLC35C1	0.0968747628703008	1.38	201.96	146.29	solute carrier family 35 (GDP-fucose transporter), member C1
ZDeKhTn_AyHgDwq0UU	ERI1	0.097009745308435	-1.43	53.82	76.92	exoribonuclease 1
WuDuXii3aBogFLVYFA	ADD3	0.097009745308435	1.49	402.18	270.5	adducin 3 (gamma)
WK46O.11r3Sp1F39qU	CHPF2	0.0970131341438431	1.36	290.95	213.26	chondroitin polymerizing factor 2
EVSp6JRCjFdH_TiieA	TBC1D9B	0.0972776117363803	1.43	387.74	271.25	TBC1 domain family, member 9B (with GRAM domain)
3NJa_f_4gg9foeabYs	SLIRP	0.0972776117363803	-1.41	1890.98	2672.21	SRA stem-loop interacting RNA binding protein
o4XS13SiR0EenpDnPU	NA	0.0972806167151529	-1.41	65.18	91.86	NA
xq1zrrU_dIe01010ek	TMED4	0.0972806167151529	1.46	678.67	464.44	transmembrane p24 trafficking protein 4
3fUjmJ6vn1eKlVnpQo	ARL6IP4	0.0973957572368603	1.47	441.39	300.53	ADP-ribosylation factor-like 6 interacting protein 4
NoXN6F3SR7AMv_v_6Q	NIN	0.0974358074925884	-1.58	102.33	162.09	ninein (GSK3B interacting protein)
NyWIrB1D35EBEC961M	NA	0.0975341480288104	-1.35	268.58	363.87	NA
BGU.UKkoKpLteCVN.0	PPME1	0.0978215116562264	1.41	424.54	301.99	protein phosphatase methylesterase 1
0bRTzA98vSp6ma6dOU	GRIPAP1	0.0978879549626569	1.45	758.78	522.6	GRIP1 associated protein 1
iEPl6Kfe4jaiKiiKS0	UBE2G2	0.0981475153951743	-1.39	216.54	300.43	ubiquitin-conjugating enzyme E2G 2
N15nVaR7qH2l9SCiv8	DNLZ	0.0983083105678118	-1.43	334.13	476.47	DNL-type zinc finger
97mJIg3F.UfcJe.fXU	MIR155HG	0.0983083105678118	-1.4	82.45	115.35	MIR155 host gene
idWArcIIlEIIloioOI	PRPF38A	0.0983370496013595	-1.47	61.05	90.01	pre-mRNA processing factor 38A
3pKOPnwlSi9qvEuJ7o	NA	0.0983370496013595	-1.36	78.02	106.24	NA
E..kxCWBv7n1bk5LQI	NA	0.098411670244728	-1.33	184.15	245.15	NA
0dXFeneU0l_Cpdjgl8	STRA6	0.098411670244728	1.36	133.88	98.32	stimulated by retinoic acid 6
Wl8gKd8JUpf.l07kiw	SAMD12	0.0987119007785761	1.42	116.32	81.67	sterile alpha motif domain containing 12
6Ipa71d7jie5XhLC2g	FST	0.0987416200120451	-1.61	402.52	648.8	follistatin
fp.P9HpV4r4LSLdQAE	GTPBP8	0.0987830911816897	-1.45	114.19	165.74	GTP-binding protein 8 (putative)
HVHcCee46UV939ijqI	NA	0.0988681632903899	-1.32	156.99	207.07	NA
TRS4ViV1EUl17N00rU	PPFIA4	0.0989035083254905	1.41	170.83	121.25	protein tyrosine phosphatase, receptor type, f polypeptide (PTPRF), interacting protein (liprin), alpha 4
riXodKOH6Byp_ndILU	RRP12	0.0989035083254905	-1.44	138.82	199.59	ribosomal RNA processing 12 homolog
W6vlrSJ8IockV5DlXc	MPV17	0.0990022556751739	1.38	365.68	264.59	MpV17 mitochondrial inner membrane protein
HtXusgB8d.OXrksw9U	KCTD6	0.0992614089353157	-1.47	126.6	185.51	potassium channel tetramerization domain containing 6
QxHuArqq4tUfiZ9e_A	AKR7A2	0.0992614089353157	1.4	1191.04	853.03	aldo-keto reductase family 7, member A2
BU5Y6JJLFRU4AU4Kpc	COL16A1	0.0992614089353157	1.5	348.71	232.95	collagen, type XVI, alpha 1
rVQkOyK78CpXeeni6Q	ELOVL6	0.0994908469089548	-1.33	161.27	214.89	ELOVL fatty acid elongase 6
ijlhSBROLSDTSDNUUE	RPGR	0.0994908469089548	-1.41	61.36	86.35	retinitis pigmentosa GTPase regulator
ZkrzZCO3yLKvCvdLhE	HNRNPH3	0.0995242272033919	-1.54	217.71	335.62	heterogeneous nuclear ribonucleoprotein H3 (2H9)
9ThUcTUkXtP6ooc1KQ	ERGIC3	0.0996988945094178	1.45	656.36	453.88	ERGIC and golgi 3
EubPiRPCT3CJYjJ9eA	NA	0.099910779159789	-1.33	1193.9	1593.82	NA
0WVFb2VtVeWT0Q5Jec	NA	0.099910779159789	-1.4	119.52	167.63	NA
rtcwORde0AU5eIrVp4	RRP1B	0.0999943338828038	-1.39	94.91	132.15	ribosomal RNA processing 1B
WpAEZVTeeX.c_V5BtU	RING1	0.100147877341504	1.41	982.1	694.55	ring finger protein 1
95BSfOKkOqkXAd_OAg	TCEAL8	0.100385225827294	1.38	572.43	413.49	transcription elongation factor A (SII)-like 8
uklAkodfpQUYyILXjo	TIMM9	0.100501457603092	-1.38	238.97	330.54	translocase of inner mitochondrial membrane 9 homolog (yeast)
E5IYJ10TT7qxV6U7v4	NA	0.100529898426206	-1.43	1062.34	1523.43	NA
up0FXf0n3O676K56zY	STK36	0.100536994593789	1.46	321.52	220.54	serine/threonine kinase 36
K7266PZ.Hzhg09GhBE	MIR382	0.100971903404259	1.43	105.22	73.62	microRNA 382
uSfI6ingbjh6cRBIjk	CEBPZ	0.101487651498156	-1.47	418.65	615.33	CCAAT/enhancer binding protein (C/EBP), zeta
rxI1GWXdzZRklVx1xg	FOXC2	0.101490602484711	-1.38	92.48	127.96	forkhead box C2
ZoqEU.urqiAioivc7U	L3MBTL4	0.101784445199411	-1.42	58.52	83.03	l(3)mbt-like 4 (Drosophila)
cpN.QldnevdKkk.1KY	LSM4	0.101784445199411	-1.37	446.07	609.91	LSM4 homolog, U6 small nuclear RNA and mRNA degradation associated
NqAI5QBO1XRUpwH4x4	CRBN	0.101948157880616	1.42	245.54	172.46	cereblon
3lSUkZdCsjoNVHrSIA	MPRIP	0.102187959300911	1.37	910.58	662.55	myosin phosphatase Rho interacting protein
fF5976WihjleBd_iX8	C17orf97	0.102187959300911	1.33	177.9	133.98	chromosome 17 open reading frame 97
WpDF47S0Sk1B04QiMU	CCDC88A	0.10268662164752	-1.43	77.47	110.71	coiled-coil domain containing 88A
0JI6Y5KFJenYoJZong	RPS19BP1	0.103021379937102	-1.36	288.53	392.67	ribosomal protein S19 binding protein 1
36iZWDenaSDN32EJEU	FTH1P11	0.103030339113912	1.54	575.34	374.64	ferritin, heavy polypeptide 1 pseudogene 11
uo9yuhPEi_D10cVXVk	ACER3	0.103032358848171	-1.39	195.43	272.46	alkaline ceramidase 3
fNCo7UN.6fV4lJg_5E	RECQL	0.103104429107859	-1.37	199.82	272.78	RecQ helicase-like
lUIR6eK7yoIoIq6yKI	NA	0.103104429107859	-1.41	135.43	190.96	NA
uVJQSC5O1HualLu78Q	C12orf76	0.103171116630857	1.4	111.77	79.64	chromosome 12 open reading frame 76
3S3ZjB5kpmhQJjd94o	RPS15	0.103171116630857	-1.38	217.08	298.57	ribosomal protein S15
00YEtQgO7Up5igoti4	GALNT12	0.103250183255526	1.4	154.26	110.45	polypeptide N-acetylgalactosaminyltransferase 12
9oHTlIJV6_3gKzn8dI	TPM1	0.103350498218789	1.65	204.79	124	tropomyosin 1 (alpha)
uvgRJSRL9hK0KCJ79I	RAB40B	0.103374502682509	1.49	290.59	194.62	RAB40B, member RAS oncogene family
EgOz7_J0ApWFFVfank	CBX4	0.103415932898199	1.33	366.48	276.55	chromobox homolog 4
6dSXSiS7ooI4qUoCCg	SLX4	0.10344538933394	-1.5	97.61	146.01	SLX4 structure-specific endonuclease subunit
N1c9slN1ulDuHFuUkk	ABCD1	0.103459502726201	1.4	138.84	98.99	ATP-binding cassette, sub-family D (ALD), member 1
onYjOL3kArrWTX6V3o	SCARB2	0.103464644674497	1.36	1701.81	1251.22	scavenger receptor class B, member 2
xud4v2r3nXECBua55o	D2HGDH	0.103464644674497	1.33	243.55	183.41	D-2-hydroxyglutarate dehydrogenase
BdfkNO6EUNEAsCV674	PKIA	0.103559812199	-1.63	74.97	122.54	protein kinase (cAMP-dependent, catalytic) inhibitor alpha
u4ZT11wgp0Cw6F4Ako	NA	0.10364056063607	-1.37	156.86	214.86	NA
