	SYMBOL	FDR	FC	avg.Control	avg.MDM2_KD_380	NAME
lDtFt1d9xZDh1lReVc	ACPT	0.0730687684010433	-1.4	93.58	66.98	acid phosphatase, testicular
ikbItFWQJEhwFTHEiE	NA	0.0730687684010433	1.37	83.77	114.37	NA
9m6I6RNfnnqh_lec.M	POLR3D	0.0732765776436946	-1.4	110.07	78.52	polymerase (RNA) III (DNA directed) polypeptide D, 44kDa
BOu__iLiS9eGieFIf8	NA	0.0733082632825654	1.54	1119.49	1721.2	NA
ioPeC96l.dIIew7F4I	NA	0.0733202469978066	1.48	84.67	124.97	NA
fJB7rrFQE_UIgDkO4o	NA	0.0733202469978066	1.44	129.81	187.44	NA
iDJhei9p9Seu_SC52o	GALNT18	0.0735672345312436	-1.42	126.33	89.05	polypeptide N-acetylgalactosaminyltransferase 18
uReTV0TXrrtLfXS9Oc	OR14C36	0.0737472024547988	1.43	77.1	110.4	olfactory receptor, family 14, subfamily C, member 36
QT6nhXaqBTqSQ5Xifc	KRT7	0.0737758751981141	-1.45	111.5	76.94	keratin 7, type II
HpXlFIC2JHrXLSnuOA	GPN2	0.0737758751981141	-1.38	319.92	232.28	GPN-loop GTPase 2
9nnk7.QsTvgSwo_qL4	GSKIP	0.0737758751981141	1.42	115.22	163.16	GSK3B interacting protein
BVU_ySonJs8l_6kE44	GEM	0.0737758751981141	-1.62	183.3	113.35	GTP binding protein overexpressed in skeletal muscle
WUjooIk7lFV.XBKftQ	NA	0.0738084456111122	-1.49	184.48	123.73	NA
BP.emLwtSSvebp5VSo	TBC1D24	0.0738777330111887	-1.51	102.31	67.62	TBC1 domain family, member 24
cpz11UgXhPQh13oLgk	OSBPL8	0.0742345282776743	-1.48	159.77	107.95	oxysterol binding protein-like 8
Bl6R0eke2PVROF.Q1c	NA	0.0742663891465647	1.35	77.36	104.41	NA
ukQLCXRf5fUHlIE6PU	PON2	0.0742781574545246	1.46	1037.92	1511.84	paraoxonase 2
ivdSKCuggFOpKLKD4s	GBP1	0.0744306359345041	-1.6	300.7	187.89	guanylate binding protein 1, interferon-inducible
r4mma567H260oa0o4g	FAM174A	0.0744896124520546	1.39	171.25	238.55	family with sequence similarity 174, member A
fEUKS0vCknOv6ApMaE	SLC7A6	0.0744896124520546	-1.43	92.63	64.65	solute carrier family 7 (amino acid transporter light chain, y+L system), member 6
NDin2d1Eil59TXD4kI	LINC01119	0.0744896124520546	1.72	191.39	328.51	long intergenic non-protein coding RNA 1119
fQgp0K1QK66Q4LArRE	NA	0.0744896124520546	1.53	204.89	314.08	NA
