	SYMBOL	RAE.GENE	Chr12q
380	PEX5	0.086	
381	ARIH1	0.064	
382	IER2	-1	
383	HOOK2	-1	
384	MAGED2	NA	
385	MAN1B1	0.07	
386	ETV1	0.118	
387	NAA40	NA	
388	PTEN	0.037	
389	WNK1	0.118	
390	PPM1A	0.08	
391	LDLR	-1	
392	PECR	0.048	
393	FOXN3	0.059	
394	DLK1	0.112	
395	ETS2	-1	
396	N4BP2L2	-1	
397	DZIP1	-1	
398	WNK1	0.118	
399	STAT5B	0.08	
400	SYNRG	NA	
401	ADAP2	-1	
402	NAB1	-1	
403	RALGDS	-1	
404	H3F3B	-1	
405	INPP5K	-1	
406	NA	NA	
407	MGAT2	-1	
408	ICAM1	-1	
409	CXCL3	0.043	
410	TIA1	-1	
411	ATF4	0.091	
412	RPN2	0.134	
413	IL1B	-1	
414	HS2ST1	-1	
415	EIF4A1	-1	
416	DAPK2	0.064	
417	IDS	NA	
418	TMEM258	NA	
419	SAA2	0.112	
420	TEX261	-1	
421	CDC27	0.064	
422	RAI14	0.134	
423	DNAJB1	-1	
424	PSME2	-1	
425	MCM5	-1	
426	MARCKS	0.15	
427	EIF2S1	0.091	
428	RIPK1	0.053	
429	MLF1IP	-1	
430	LEPREL4	NA	
431	CKS2	0.123	
432	COBLL1	-1	
433	EIF4G3	0.07	
434	MT1F	0.07	
435	MARC1	NA	
436	AZGP1	-1	
437	BTN3A3	-1	
438	AK4	NA	
439	WSB1	-1	
440	IGF2BP2	-1	
441	SOD2	-1	
442	GADD45B	0.107	
443	UBE2D3	0.043	
444	OS9	0.79	
445	EMC3	NA	
446	DYRK2	0.513	X
447	C10orf10	-1	
448	LRIG1	0.086	
449	H3F3B	-1	
450	GCLC	-1	
451	NA	NA	
452	POM121	0.075	
453	MAF	-1	
454	TM4SF1	-1	
455	BAG3	0.053	
456	PAPPA	0.112	
457	MDM1	0.671	X
458	TIA1	-1	
459	RAD51AP1	-1	
460	SPARC	0.064	
461	CIDEA	-1	
462	MORC2	-1	
463	CASKIN2	-1	
464	TKT	0.091	
465	GALNT1	0.053	
466	BTN2A1	-1	
467	NMNAT2	-1	
468	NREP	NA	
469	FUCA1	0.075	
470	ID4	0.059	
471	SDC3	0.075	
472	SMG8	NA	
473	TJP1	0.075	
474	HIST1H2BD	-1	
475	SOCS2	-1	
476	ADAMTS1	-1	
477	TIAM1	0.091	
478	METTL17	NA	
479	NFYA	-1	
480	ZNF573	-1	
481	NA	NA	
482	PRPSAP2	0.064	
483	NA	NA	
484	PIGN	-1	
485	CCDC101	-1	
486	PPP1R15A	0.107	
487	MAOA	NA	
