	SYMBOL	RAE.GENE	Chr12q
3310	STAT1	0.053	
3311	NA	NA	
3312	PHF1	0.075	
3313	LYPLA1	0.128	
3314	CIRBP	-1	
3315	MAPK8IP3	-1	
3316	EXT2	-1	
3317	LCK	0.075	
3318	NUP98	0.142	
3319	NES	-1	
3320	SH3BP2	-1	
3321	LRBA	-1	
3322	NMI	0.059	
3323	CD58	0.053	
3324	JRKL	-1	
3325	ITGA7	-1	
3326	SEC62	0.075	
3327	RPRD2	0.166	
3328	METTL13	0.273	
3329	DDX11	0.075	
3330	CHTOP	NA	
3331	ADNP2	0.107	
3332	CHST15	NA	
3333	STIL	0.08	
3334	HYAL2	0.08	
3335	NDUFA10	-1	
3336	NA	NA	
3337	CTCF	-1	
3338	SMC5	0.102	
3339	COL5A3	0.123	
3340	SAMM50	0.102	
3341	ATP6V0E2	-1	
3342	FLOT2	0.043	
3343	ZNF107	0.075	
3344	DDX17	-1	
3345	DAB2	0.15	
3346	MKL1	-1	
3347	ZNF7	-1	
3348	PGF	-1	
3349	CDC42EP3	-1	
3350	AUH	-1	
3351	TCF7L2	0.032	
3352	DHPS	-1	
3353	NA	NA	
3354	NA	NA	
3355	EIF5	-1	
3356	FCER1G	0.209	
3357	KDR	0.037	
3358	PSME4	-1	
3359	KLHDC3	0.075	
3360	C18orf8	-1	
3361	B4GALT4	-1	
3362	SYNCRIP	-1	
3363	DGCR2	-1	
3364	WIPF1	0.048	
3365	TCF3	-1	
3366	NECAB3	0.112	
3367	HPGDS	NA	
3368	SERINC3	-1	
3369	GLUL	-1	
3370	KHSRP	-1	
3371	GOLGA4	0.075	
3372	PLCXD1	NA	
3373	SRPX	NA	
3374	HOXC4	0.118	
3375	CEP290	0.299	
3376	FLOT1	NA	
3377	RAC2	-1	
3378	TRAF3IP2	-1	
3379	PGF	-1	
3380	LPPR4	-1	
3381	IRGQ	-1	
3382	NQO1	0.107	
3383	ENPEP	-1	
3384	FAM105A	0.155	
3385	IGF1R	-1	
3386	TBC1D31	NA	
3387	CTNNA1	-1	
3388	WDR41	0.064	
3389	HYAL1	0.08	
3390	INPP5E	0.07	
3391	NA	NA	
3392	UTRN	-1	
3393	EPB41L1	-1	
3394	AMPD3	-1	
3395	PLAGL1	0.175	
3396	MGLL	0.053	
3397	B4GALT2	0.107	
3398	ATP13A3	0.091	
3399	SET	0.08	
3400	RUNX3	0.075	
3401	CACNA1I	-1	
3402	CD44	0.118	
3403	HNRNPA3	-1	
3404	MEF2A	-1	
3405	NPR1	-1	
3406	NA	NA	
3407	CAPZA1	-1	
3408	FAM96B	0.086	
3409	NA	NA	
3410	GGA1	-1	
3411	HBS1L	-1	
3412	SLC5A6	-1	
3413	EXOC3	-1	
3414	NA	NA	
3415	JUND	-1	
3416	ZKSCAN1	0.064	
3417	NA	NA	
3418	NA	NA	
3419	FBN2	0.08	
3420	YWHAB	0.144	
3421	PARP2	-1	
3422	KIAA1598	-1	
3423	SEC22A	-1	
3424	ADCY9	0.048	
3425	C14orf2	0.118	
3426	SCRG1	-1	
3427	C16orf95	NA	
3428	SEPT2	-1	
3429	KCNJ15	-1	
3430	NGLY1	-1	
3431	HSF2	0.091	
3432	CD53	-1	
3433	HSDL2	-1	
3434	ARPC3	-1	
3435	NA	NA	
3436	IGF1R	-1	
3437	NA	NA	
3438	KIT	-1	
3439	TEX261	-1	
3440	FARP1	-1	
3441	HMGCS1	0.128	
3442	SYK	0.128	
3443	PROCR	-1	
3444	GULP1	-1	
3445	SLC25A36	-1	
3446	DDRGK1	0.102	
3447	CDK5	0.086	
3448	RPS6KB1	0.075	
3449	PIAS1	-1	
3450	RTN1	0.08	
3451	NREP	NA	
3452	C8orf4	0.091	
3453	NA	NA	
3454	COG5	0.07	
3455	MSH2	-1	
3456	GCHFR	0.123	
3457	TCF4	-1	
3458	HSPA13	0.07	
3459	CDKN3	-1	
3460	LGALS8	0.139	
3461	BCL7A	-1	
3462	GALNS	-1	
3463	PTGIS	-1	
3464	PTPRO	0.08	
3465	CCDC28B	0.075	
3466	WDR82	-1	
3467	ECH1	0.08	
3468	LDHA	0.144	
3469	INPP5D	-1	
3470	ISLR	-1	
3471	CEP68	-1	
3472	MARCH1	NA	
3473	TCF4	-1	
3474	CSNK1D	-1	
3475	ENO2	-1	
3476	DDX21	0.07	
3477	SMPDL3A	0.096	
3478	GJA4	-1	
3479	NCK1	-1	
3480	P4HA2	0.059	
3481	CPEB3	-1	
3482	RRAGD	-1	
3483	NINL	NA	
3484	POLR2H	-1	
3485	RRAD	0.086	
3486	TESC	0.118	
3487	DLG1	0.134	
3488	RNF10	0.134	
3489	UGCG	-1	
3490	TMEM30A	0.059	
3491	TAF5	-1	
3492	TRIP6	0.064	
3493	FBXW11	0.091	
3494	MAGEH1	NA	
3495	IFRD1	-1	
3496	SPEN	-1	
3497	TRAF3IP3	-1	
3498	ITM2C	-1	
3499	ABCB6	-1	
3500	PFDN5	-1	
3501	DTNA	-1	
3502	HIST1H2BE	-1	
3503	PI4KB	0.166	
3504	NA	NA	
3505	CYBB	NA	
3506	GRSF1	-1	
3507	TSPAN4	0.182	
3508	SART1	0.096	
3509	IPP	0.075	
3510	FRS2	0.872	X
3511	AMD1	-1	
3512	MAPKAPK2	0.118	
3513	ASNS	0.064	
3514	SLCO2B1	-1	
3515	SMARCA1	NA	
3516	MTUS1	-1	
3517	PRDX4	NA	
3518	NA	NA	
3519	PKM	NA	
3520	HSPA8	0.203	
3521	SMCO4	NA	
3522	EIF1B	0.053	
3523	MUT	0.059	
3524	POU2F1	0.193	
3525	GDI1	NA	
3526	FTSJD2	0.059	
3527	SCAMP5	-1	
3528	NA	NA	
3529	RNF31	-1	
3530	CHD3	0.053	
3531	LRCH3	-1	
3532	DEAF1	-1	
3533	USP11	NA	
3534	SUGP2	NA	
3535	ITGAE	-1	
3536	INTS6	0.141	
3537	AOAH	0.112	
3538	HEATR6	0.064	
3539	HMMR	0.08	
3540	AACS	0.096	
3541	PRRC2C	NA	
3542	ST13	0.118	
3543	TNXB	NA	
3544	NA	NA	
3545	ENPP2	0.096	
3546	NA	NA	
3547	RCAN1	-1	
3548	CXCL11	-1	
3549	DPH5	-1	
3550	CBLL1	-1	
3551	DDX41	0.091	
3552	THY1	-1	
3553	GTF3C1	0.043	
3554	PPP2R5C	0.102	
3555	CRIM1	-1	
3556	C6orf106	0.086	
3557	FBXO5	0.128	
3558	GOLPH3	0.176	
3559	AKAP10	0.064	
3560	NUP107	0.642	X
3561	STK38	-1	
3562	APPL1	-1	
3563	AKAP1	-1	
3564	IARS2	0.16	
3565	SOD2	-1	
3566	FGFR1	0.102	
3567	CUL4B	NA	
3568	PTGER4	-1	
3569	UQCRB	-1	
3570	RTN4	-1	
3571	TXNDC9	0.075	
3572	CPOX	-1	
3573	RGS5	-1	
3574	CUX1	-1	
3575	WIPF1	0.048	
3576	RORA	0.07	
3577	TMEM208	-1	
3578	FAM13A	0.037	
3579	TFPT	-1	
3580	ZC2HC1A	NA	
3581	BCL2A1	0.053	
3582	SRP72	-1	
3583	PTP4A2	-1	
3584	MIA3	-1	
3585	NRP2	-1	
3586	ANO10	0.059	
3587	DSCR3	-1	
3588	AK1	0.091	
3589	SP3	-1	
3590	NA	NA	
3591	CAPN3	-1	
3592	NA	NA	
3593	STARD3	-1	
3594	DDX39A	NA	
3595	HSPA8	0.203	
3596	ANGPTL4	-1	
3597	IFITM1	0.182	
3598	PBRM1	0.118	
3599	NA	NA	
3600	PPFIBP1	-1	
3601	RBL1	0.128	
3602	TXNIP	-1	
3603	NCOA1	-1	
3604	CUL5	-1	
3605	STAC	-1	
3606	NA	NA	
3607	MYO1B	0.059	
3608	LYN	0.134	
3609	RPL13	-1	
3610	SNX2	0.064	
3611	CCL14	0.064	
3612	ATP1A2	-1	
3613	ST6GAL1	-1	
3614	NAPA	0.102	
3615	RELN	-1	
3616	HARS2	0.08	
3617	CDK16	NA	
3618	NA	NA	
3619	DUSP3	0.08	
3620	BDKRB2	-1	
3621	ARSA	-1	
3622	FKTN	0.118	
3623	HOXD3	0.053	
3624	TLE4	-1	
3625	DHDDS	-1	
3626	FCHSD2	-1	
3627	MPP5	0.102	
3628	RBM25	0.107	
3629	RET	0.053	
3630	CD200	0.053	
3631	KPNA2	NA	
3632	ACTG1	0.064	
3633	IFT122	-1	
3634	FBLN2	-1	
3635	TXNIP	-1	
3636	NAT1	0.075	
3637	CAMSAP2	NA	
3638	JMJD6	-1	
3639	CDC16	-1	
3640	CAMSAP2	NA	
3641	LTBP4	0.086	
3642	ABHD6	0.107	
3643	DDX5	-1	
3644	SLC1A5	0.102	
3645	TMEM109	0.075	
3646	NA	NA	
3647	GTF2E2	0.118	
3648	G3BP1	0.07	
3649	ZNF652	-1	
3650	CDK2AP1	-1	
3651	CCND2	0.086	
3652	GTF2H1	-1	
3653	UBAP2L	0.182	
3654	MDH1	-1	
3655	CD59	0.123	
3656	GCC2	0.08	
3657	HIF3A	-1	
3658	TNFRSF10C	0.096	
3659	PDE8B	-1	
3660	ITGAL	-1	
3661	SF3B3	-1	
3662	NETO2	-1	
3663	BCS1L	-1	
3664	TRIB3	-1	
3665	ACVR1	-1	
3666	CDC7	-1	
3667	NFIC	0.096	
3668	NPDC1	-1	
3669	PRUNE	0.166	
3670	BMP1	-1	
3671	AP1B1	-1	
3672	PIK3CA	0.075	
3673	ENTPD4	-1	
3674	SRPK2	0.075	
3675	NIPBL	-1	
3676	UXS1	0.08	
3677	BZW1	0.075	
3678	DDX24	0.07	
3679	CEP135	-1	
3680	TMED7	0.075	
3681	PLSCR1	-1	
3682	RNF19A	0.112	
3683	RCBTB1	-1	
3684	ITK	0.086	
3685	TIMP4	-1	
3686	TUBA1B	-1	
3687	PAMR1	NA	
3688	RPS2	-1	
3689	SRSF10	NA	
3690	NA	NA	
3691	PLXNA2	0.118	
3692	NA	NA	
3693	FAM35A	-1	
3694	TJAP1	0.075	
3695	TPD52	0.109	
3696	CMPK1	-1	
3697	MEX3D	-1	
3698	NKG7	-1	
3699	ADO	-1	
3700	YRDC	-1	
3701	MAN1C1	0.075	
3702	FMO4	0.241	
3703	HMGN3	0.07	
3704	CAPRIN2	0.075	
3705	HPR	0.075	
3706	CTNNA1	-1	
3707	CTD-3157E16.1	NA	
3708	XPO7	0.084	
3709	TMEM255A	NA	
3710	DCUN1D4	-1	
3711	CEP57	-1	
3712	ANXA7	0.064	
3713	ENSA	0.176	
3714	REST	-1	
3715	NA	NA	
3716	PXDC1	NA	
3717	FAM162A	0.064	
3718	PPP1R13L	0.107	
3719	SNCA	0.043	
3720	NDUFS8	0.091	
3721	SIGLEC7	-1	
3722	PSMA2	-1	
3723	KAT6B	NA	
3724	SPHK1	-1	
3725	LY75	0.048	
3726	NA	NA	
3727	DCHS1	-1	
3728	SZRD1	NA	
3729	U2AF1	-1	
3730	EDNRA	-1	
3731	PAPPA2	0.15	
3732	ARPC1A	-1	
3733	ARPC1B	0.064	
3734	RPL13A	-1	
3735	FKBP2	-1	
3736	MRPS35	0.086	
3737	ARL6IP5	0.102	
3738	LAMB1	0.07	
3739	ARMCX3	NA	
3740	DBT	-1	
3741	TGIF1	-1	
3742	SRSF5	NA	
3743	NA	NA	
3744	RAB27A	0.07	
3745	NA	NA	
3746	PRPF39	-1	
3747	CCNE1	0.091	
3748	PPARGC1A	0.037	
3749	TUBA3C	-1	
3750	COPS4	-1	
3751	PRKCH	0.075	
3752	C1orf109	0.075	
3753	SCCPDH	0.166	
3754	RAB3GAP2	-1	
3755	FLII	-1	
3756	FLNA	NA	
3757	DCAF7	NA	
3758	NA	NA	
3759	ZNF189	0.112	
3760	WWOX	0.08	
3761	MORC2	-1	
3762	ITGA7	-1	
3763	CENPT	-1	
3764	USP3	0.059	
3765	SON	0.086	
3766	PLVAP	-1	
3767	PEX12	-1	
3768	LRBA	-1	
3769	NA	NA	
3770	SRSF5	NA	
3771	GLTSCR1L	NA	
3772	RPS3	-1	
3773	SERTAD3	0.086	
3774	RPL12	0.075	
3775	TBC1D13	-1	
3776	SAFB2	0.107	
3777	RPL37	0.134	
3778	NA	NA	
3779	TP53	0.053	
3780	TAX1BP3	-1	
3781	SLC39A7	NA	
3782	JMJD4	-1	
3783	BBS10	0.294	
3784	EPB41L3	0.053	
3785	GLMN	-1	
3786	GAS2L1	0.112	
3787	MDM1	0.671	X
3788	BICD2	-1	
3789	POLR2M	NA	
3790	FIG4	0.102	
3791	SIK3	NA	
3792	TNFRSF14	0.08	
3793	SNRK	0.059	
3794	QTRTD1	-1	
3795	MLF1	0.064	
3796	AAMDC	NA	
3797	PPP2R3C	0.118	
3798	LGALS8	0.139	
3799	FZD1	0.07	
3800	RPL28	0.096	
3801	NA	NA	
3802	TOP1	-1	
3803	ID4	0.059	
3804	NPLOC4	-1	
3805	EMP3	-1	
3806	HBP1	-1	
3807	MAPK1	-1	
3808	MAU2	NA	
3809	PPP1R3C	-1	
3810	STXBP1	-1	
3811	ACTR1B	-1	
3812	CEBPA	-1	
3813	NEDD9	0.048	
3814	CIZ1	0.107	
3815	CD47	-1	
3816	PDE8A	-1	
3817	HOXC6	0.118	
3818	TUBB3	0.102	
3819	TYRO3	0.128	
3820	UNG	-1	
3821	AP4S1	-1	
3822	NA	NA	
3823	ULK1	0.123	
3824	TLE4	0.091	
3825	TDRD7	-1	
3826	C19orf80	NA	
3827	PNN	-1	
3828	POGLUT1	NA	
3829	HMGN4	-1	
3830	MYO5A	-1	
3831	NAP1L4	-1	
3832	LOXL2	0.096	
3833	FAM102A	0.091	
3834	EGLN1	0.16	
3835	SMPD1	-1	
3836	RGS17	-1	
3837	CLCA2	0.048	
3838	AGFG1	-1	
3839	RXRA	-1	
3840	YTHDC2	0.064	
3841	JOSD1	0.096	
3842	MFSD10	-1	
3843	RGS12	0.053	
3844	MYL6B	0.08	
3845	SERTAD2	-1	
3846	FAM115A	-1	
3847	NA	NA	
3848	DENND3	-1	
3849	PSME3	0.08	
3850	NA	NA	
3851	LGR5	0.428	X
3852	NANS	0.107	
3853	NA	NA	
3854	MAGEL2	-1	
3855	SSBP1	0.08	
3856	SUMO4	0.235	
3857	KIAA0430	-1	
3858	KPNA4	0.059	
3859	RIOK3	0.053	
3860	NA	NA	
3861	NUDT4	-1	
3862	MPZL1	0.193	
3863	SGCB	-1	
3864	NBPF12	NA	
3865	MSRB2	0.064	
3866	PVRIG	0.07	
3867	ROCK2	-1	
3868	TCF3	-1	
3869	NBN	0.118	
3870	PPFIBP2	-1	
3871	HIF3A	-1	
3872	NA	NA	
3873	CD46	0.118	
3874	UBE4B	-1	
3875	TPI1	-1	
3876	NA	NA	
3877	GSTP1	0.091	
3878	XRCC2	0.075	
3879	TEAD4	0.086	
3880	MAPK14	-1	
3881	NA	NA	
3882	ZDHHC14	0.123	
3883	DDT	0.107	
3884	FOSL2	-1	
3885	EIF2AK1	0.128	
3886	PAFAH1B2	0.198	
3887	BTD	-1	
3888	CD58	0.053	
3889	CD38	0.059	
3890	USP9X	NA	
3891	PEBP1	0.128	
3892	SUCLG2	0.086	
3893	SH3BP5	-1	
3894	NDUFA1	NA	
3895	SEC14L1	-1	
3896	STS	NA	
3897	DMWD	-1	
3898	H3F3A	0.171	
3899	PTPRD	-1	
3900	EIF5	-1	
3901	SLC6A8	NA	
3902	DRG2	-1	
3903	ATP2C1	0.059	
3904	ATAT1	NA	
3905	TNS1	-1	
3906	ITPA	-1	
3907	NA	NA	
3908	PSMD8	0.08	
3909	EIF4B	0.091	
3910	ANGPTL2	-1	
3911	CRK	-1	
3912	EIF2B2	0.08	
3913	TFRC	0.139	
3914	CALM1	0.064	
3915	CD44	0.118	
3916	RPA1	-1	
3917	DRG1	0.107	
3918	MDK	-1	
3919	RTN2	-1	
3920	SLCO2A1	0.043	
3921	RASGRP1	-1	
3922	ZNF468	-1	
3923	IRF2	-1	
3924	KPNB1	-1	
3925	CRISPLD2	0.086	
3926	CDH5	0.075	
3927	RHEB	-1	
3928	ME2	-1	
3929	LILRA5	0.096	
3930	SMARCA4	0.123	
3931	DAB2	0.15	
3932	NSMCE4A	0.059	
3933	TRIB2	-1	
3934	C11orf49	-1	
3935	IL10RB	0.08	
3936	TRIM33	-1	
3937	TNFRSF21	-1	
3938	H1F0	-1	
3939	SGK1	-1	
3940	CYP1B1	0.053	
3941	CSE1L	0.128	
3942	SNX1	0.064	
3943	XPOT	0.209	
3944	CD52	0.07	
3945	BIRC7	0.176	
3946	BDH2	-1	
3947	MATR3	0.08	
3948	ZSWIM8	NA	
3949	HDGFRP3	-1	
3950	KIAA0100	0.053	
3951	NA	NA	
3952	TAF1	NA	
3953	NA	NA	
3954	GALNT7	-1	
3955	SLC35D1	0.08	
3956	TYK2	0.144	
3957	AHCTF1	0.171	
3958	ENSA	-1	
3959	TPP2	-1	
3960	ARFIP2	-1	
3961	BCL3	0.102	
3962	NA	NA	
3963	TOLLIP	0.16	
3964	LRIF1	NA	
3965	BBS9	0.118	
3966	AK2	-1	
3967	HUWE1	NA	
3968	NA	NA	
3969	PCMT1	0.166	
3970	CIAPIN1	-1	
3971	PIEZO1	NA	
3972	GAA	0.08	
3973	PRDX2	0.096	
3974	RPL18	-1	
3975	NA	NA	
3976	RERE	-1	
3977	FBXO42	0.07	
3978	PHF20L1	0.102	
3979	POLR1B	0.075	
3980	SLC35E1	0.091	
3981	ADRM1	-1	
3982	CEBPD	-1	
3983	TNXB	NA	
3984	GPR107	0.059	
3985	PKD2	0.037	
3986	ZNF544	-1	
3987	GGA1	-1	
3988	PPP1R12B	0.102	
3989	SNRPB	0.091	
3990	NA	NA	
3991	CTSB	-1	
3992	RNF139	-1	
3993	TMEM80	0.176	
3994	NA	NA	
3995	NA	NA	
3996	BCL6	-1	
3997	VIPR1	0.059	
3998	ITCH	-1	
3999	COPA	0.209	
4000	TDG	0.102	
4001	FOXO4	NA	
4002	GEMIN2	NA	
4003	SBNO2	0.112	
4004	CIRBP	-1	
4005	CAMTA2	-1	
4006	MRPL15	0.128	
4007	NA	NA	
4008	FASTKD5	0.102	
4009	RHOT2	-1	
4010	AVEN	0.107	
4011	RBP4	0.032	
4012	TNPO3	-1	
4013	SNED1	0.053	
4014	MRPS18B	NA	
4015	PSEN1	0.102	
4016	MAPK13	-1	
4017	PIR	NA	
4018	SDPR	-1	
4019	PAIP1	0.128	
4020	FBXO3	0.123	
4021	GOLPH3L	0.182	
4022	CTH	-1	
4023	ABHD4	0.075	
4024	NA	NA	
4025	TIMM13	-1	
4026	ERAP1	-1	
4027	HSBP1	-1	
4028	USP22	0.064	
4029	GRHPR	0.123	
4030	P2RX4	-1	
4031	SKI	-1	
4032	TNFSF13	0.053	
4033	INTS8	0.118	
4034	SLC39A8	-1	
4035	TPT1	0.139	
4036	ZBED1	NA	
4037	CCL19	-1	
4038	NET1	0.064	
4039	SNRPD1	0.059	
4040	PPP1R26	NA	
4041	HIF3A	-1	
4042	TRIM2	-1	
4043	ZNF394	-1	
4044	MAPRE2	0.048	
4045	SMAD4	0.059	
4046	RPS4X	NA	
4047	PLCB4	0.08	
4048	RNF144A	-1	
4049	PRPF40A	0.053	
4050	CDK19	NA	
4051	SSH3	0.091	
4052	PSPC1	-1	
4053	RANBP2	-1	
4054	PSMD6	0.086	
4055	DBN1	-1	
4056	CDO1	-1	
4057	TOM1	0.102	
4058	CORO1C	0.112	
4059	C6orf62	-1	
4060	ME2	-1	
4061	BTK	NA	
4062	HP	0.075	
4063	NOL7	-1	
4064	MCFD2	0.043	
4065	ARNTL	0.128	
4066	VWF	0.08	
4067	ACTN1	0.075	
4068	CITED2	-1	
4069	INSIG1	-1	
4070	BIRC5	0.08	
4071	IDS	NA	
4072	NOTCH4	NA	
4073	ARL4A	-1	
4074	BIN1	0.08	
4075	VPS13B	0.112	
4076	PPP1R12A	0.155	
4077	APTX	-1	
4078	TSPAN5	-1	
4079	RPS6KA2	-1	
4080	GRB14	0.043	
4081	MOSPD1	NA	
4082	LPCAT4	0.075	
4083	SLC16A1	-1	
4084	ING2	-1	
4085	SMIM8	NA	
4086	AIMP1	NA	
4087	CAV2	-1	
4088	TTF1	-1	
4089	STX8	-1	
4090	ULK2	-1	
4091	RIN3	-1	
4092	GDF10	-1	
4093	ATP2C1	0.059	
4094	CEP164	-1	
4095	PON3	0.07	
4096	MYH9	0.102	
4097	ETV5	-1	
4098	PUM2	-1	
4099	IFI30	0.102	
4100	GRN	-1	
4101	NA	NA	
4102	EMP1	0.091	
4103	SRSF10	NA	
4104	MARK3	0.123	
4105	ARAP1	-1	
4106	CD9	0.091	
4107	ADAP1	0.112	
4108	HNRNPA1	0.08	
4109	CHD8	-1	
4110	NA	NA	
4111	NOTCH2	-1	
4112	CLEC3B	0.064	
4113	CDKN1B	-1	
4114	NA	NA	
4115	AGTR1	-1	
4116	MYH11	-1	
4117	ZNF783	0.08	
4118	HLA-DPA1	NA	
4119	OSBPL9	0.08	
4120	MCAM	-1	
4121	RELA	0.091	
4122	GRN	-1	
4123	WDR7	-1	
4124	TIMM22	-1	
4125	SNAP23	-1	
4126	CHIC2	-1	
4127	NA	NA	
4128	SLC2A3	0.112	
4129	RPS6KA1	0.07	
4130	CDS2	0.086	
4131	LIMS2	-1	
4132	NA	NA	
4133	PRPF31	-1	
4134	SCG5	-1	
4135	TLR4	-1	
4136	GALNT11	0.091	
4137	RNF219	-1	
4138	LRRK1	0.059	
4139	PDLIM1	0.027	
4140	RPL17	-1	
4141	ACSS3	-1	
4142	CAPN2	0.144	
4143	HAUS5	NA	
4144	HSPBAP1	-1	
4145	EIF5	-1	
4146	CTSB	-1	
4147	MRPS28	-1	
4148	RPAP3	0.139	
4149	OSGIN2	-1	
4150	FST	0.08	
4151	TRIT1	0.086	
4152	VAV1	0.112	
4153	HNRNPA1	0.08	
4154	MS4A4A	-1	
4155	MLEC	0.128	
4156	NA	NA	
4157	SENP3	-1	
4158	PNO1	-1	
4159	ASTN2	0.118	
4160	RPS4X	NA	
4161	DVL3	-1	
4162	OSBPL3	0.139	
4163	TTC23	0.064	
4164	PRDX6	-1	
4165	PRR5	0.091	
4166	TAF5L	0.15	
4167	NUDT4	-1	
4168	NA	NA	
4169	FRMD4A	0.059	
4170	ANXA2	0.07	
4171	PIAS1	-1	
4172	PSAT1	0.091	
4173	PLIN3	NA	
4174	RAP2C	NA	
4175	TCF7L2	0.032	
4176	ZMYM4	0.07	
4177	MEF2C	0.048	
4178	WAS	NA	
4179	TNPO2	0.102	
4180	TCEB3	-1	
4181	MET	-1	
4182	ILF3	0.119	
4183	PRRC2C	NA	
4184	NIPSNAP1	-1	
4185	NA	NA	
4186	CXCL12	0.045	
4187	RPS7	-1	
4188	CBFA2T3	0.08	
4189	PNO1	-1	
4190	NUP37	0.112	
4191	MYCT1	-1	
4192	LPAR4	NA	
4193	LYRM2	0.07	
4194	NA	NA	
4195	SRSF9	NA	
4196	PLTP	0.123	
4197	CEP290	0.299	
4198	PSMB1	0.064	
4199	SMARCA2	-1	
4200	CTSS	0.182	
4201	SGSM2	-1	
4202	ACADL	-1	
4203	BLZF1	0.203	
4204	NA	NA	
4205	USP34	-1	
4206	ERBB4	-1	
4207	ORC3	NA	
4208	PAICS	-1	
4209	PANK3	0.091	
4210	UBE2Z	-1	
4211	GEMIN4	-1	
4212	TNFAIP8	-1	
4213	RASA1	0.053	
4214	C19orf60	0.096	
4215	SGPL1	-1	
4216	MCTS1	NA	
4217	TNKS2	-1	
4218	INPP4A	0.075	
4219	ROBO1	-1	
4220	ARL1	-1	
4221	ALOX5AP	0.128	
4222	SPCS2	-1	
4223	ZDHHC17	0.358	
4224	KDM5B	NA	
4225	KANSL1L	NA	
4226	PDCL	0.091	
4227	CENPQ	0.059	
4228	TNFAIP3	-1	
4229	YWHAZ	-1	
4230	ZNF273	0.075	
4231	MMP14	-1	
4232	FAM120A	0.118	
4233	PCGF3	-1	
4234	ZFAND3	-1	
4235	FDPS	0.171	
4236	TRRAP	0.064	
4237	EPHA2	-1	
4238	BMP1	-1	
4239	PDIA6	0.048	
4240	NA	NA	
4241	SLC9A8	-1	
4242	TUBB2B	-1	
4243	ETNK1	-1	
4244	COL11A1	-1	
4245	DTX3	0.545	
4246	MKL2	-1	
4247	TNFAIP8	-1	
4248	HGSNAT	-1	
4249	RPS27A	-1	
4250	SLC25A28	0.043	
4251	NUDT3	-1	
4252	TPX2	0.123	
4253	ARL4C	-1	
4254	S1PR1	0.048	
4255	APOE	-1	
4256	FEZ1	-1	
4257	C11orf73	0.128	
4258	RBM12B	0.112	
4259	ALDH6A1	0.112	
4260	CMC4	NA	
4261	SMARCD2	0.064	
4262	EAF2	-1	
4263	DDHD2	-1	
4264	EZH1	0.08	
4265	NA	NA	
4266	MAP1A	0.112	
4267	BCAS2	0.08	
4268	VPS26A	0.07	
4269	SEPT6	NA	
4270	THBS2	0.07	
4271	GSE1	NA	
4272	LARP6	0.053	
4273	PRKCB	-1	
4274	CASP4	0.139	
4275	HFE	-1	
4276	RAB33B	-1	
4277	PRKAA1	0.134	
4278	CAST	-1	
4279	CDH10	0.139	
4280	GLUD2	NA	
4281	HNRNPH3	0.075	
4282	PPARG	-1	
4283	COX11	0.075	
4284	RPLP0	-1	
4285	TPD52L1	-1	
4286	LMNB1	0.07	
4287	SMARCA2	-1	
4288	CKAP4	-1	
4289	ZC3H13	0.139	
4290	PCYT2	NA	
4291	SLC35C1	0.096	
4292	GCC1	-1	
4293	C10orf88	-1	
4294	BLCAP	-1	
4295	TAF9	NA	
4296	PPRC1	0.053	
4297	FAM193B	NA	
4298	BRD7	0.075	
4299	FARSA	0.096	
4300	CEP350	-1	
4301	TIPARP	0.053	
4302	DCUN1D4	-1	
4303	COL7A1	-1	
4304	PAPD7	NA	
4305	ZC3H15	-1	
4306	ADAMDEC1	-1	
4307	PAIP1	0.128	
4308	COL6A2	0.075	
4309	MMRN1	0.043	
4310	EI24	-1	
4311	TMEM43	0.053	
4312	NA	NA	
4313	WNT2	-1	
4314	SLC25A17	-1	
4315	DPF2	-1	
4316	MZF1	-1	
4317	DEDD	-1	
4318	ABAT	0.053	
4319	NA	NA	
4320	PBK	-1	
4321	TPI1	-1	
4322	GAPDH	-1	
4323	COX10	-1	
4324	PDS5B	-1	
4325	EMC1	NA	
4326	HTR2A	-1	
4327	YTHDC2	0.064	
4328	NA	NA	
4329	CASP7	-1	
4330	CNPPD1	NA	
4331	TTC4	0.086	
4332	ASCC1	-1	
4333	C6orf211	0.15	
4334	SMARCE1	-1	
4335	MLTK	NA	
4336	FGR	-1	
4337	PROSC	-1	
4338	JUN	-1	
4339	CPNE3	-1	
4340	MYH10	-1	
4341	ARF1	0.144	
4342	JTB	0.187	
4343	CD44	0.118	
4344	NAP1L1	0.225	
4345	SETX	0.059	
4346	SPOCK1	0.086	
4347	TCF7L2	0.032	
4348	RPS12	0.134	
4349	ITIH5	0.059	
4350	KIF13B	0.096	
4351	RARB	-1	
4352	LARP4	0.091	
4353	PCK1	-1	
4354	MAST2	0.08	
4355	CD151	0.182	
4356	RPL13A	-1	
4357	BAG6	NA	
4358	NA	NA	
4359	CDK11B	NA	
4360	PNISR	NA	
4361	PPP3CA	-1	
4362	SLC33A1	-1	
4363	MPDZ	0.139	
4364	CDKN2C	-1	
4365	GPT	0.086	
4366	CD86	-1	
4367	IGSF6	-1	
4368	PDLIM5	0.032	
4369	AL590452.1	NA	
4370	ZDHHC3	0.064	
4371	SLC4A4	0.043	
4372	DIP2A	-1	
4373	APOC1	-1	
4374	NXT1	-1	
4375	PITPNA	0.064	
4376	CCT6A	0.091	
4377	GLRX3	-1	
4378	DHPS	-1	
4379	ACSL3	0.059	
4380	ARHGAP12	-1	
4381	C2	NA	
4382	FGFR2	-1	
