	FDR	FC	NF1300	NF1347	NF1311	NF1341	WD1297	WD1349	WD1306	WD1340
ISLR2	0.0682963793500032	-2.77909676924156	182.804627574667	248.879666185202	305.883072953485	1283.17134730533	90.5327292741624	103.72455284737	48.6956511406461	617.021224612557
FHOD3	0.0682963793500032	-5.22004972847177	3873.90232051848	4795.45233895398	506.691807869513	520.787336993374	311.344264089193	258.0765660131	517.944653041418	179.079648445691
TRIM59	0.0683676409833137	3.0330123207891	49.266495374733	171.017871177541	95.7343968785715	75.7408335117751	309.136148741042	600.120627188357	216.916991444696	133.161789869873
SAMD12	0.0685003746049346	3.12106010627503	127.055698597996	139.038919656538	120.251742420645	141.530316635142	857.852812756392	233.380243906583	227.984184885752	625.630823095523
PID1	0.0685003746049346	-1.80084001916645	2264.96230051733	3549.66361883141	4187.79611711507	2674.14899048508	1089.70492431217	2172.04152926815	2886.32404942739	1252.40959265544
STARD4	0.0685003746049346	2.03403866951751	1415.76349866338	834.233517939226	632.781013514461	661.211948029804	1819.48704687585	1997.9324584172	1677.78652566408	1381.55356989993
GLDN	0.0685003746049346	-2.98189410257723	2127.53470815624	983.005161971721	2561.47886282422	2791.35378394856	266.077899452111	292.651416962223	898.656107413742	2728.668745868
SLC2A5	0.0685843882431076	2.71966502603935	1042.37532319172	223.852660647026	1815.45106275828	549.535682559887	4112.61483592994	1452.14373986318	3072.25289923713	711.152834692984
ZIC4	0.0687166093299066	26.7972352815165	10.3718937631017	215.510325467633	0	1.65855839806807	501.242184030119	116.072713900629	109.565215066454	51.0836176655977
NUPR1	0.0687177800700653	-2.25854699202491	7550.73865953804	9974.65209616001	11384.220780036	16054.8452932989	5869.1705953835	2381.96026717354	7090.75083768454	5316.14007661535
IGSF9B	0.0688449085634706	4.45589419485469	167.246786930015	260.002779757725	36.1922719906795	17.1384367800367	343.361936637372	497.630890446312	230.197623573963	316.833224173146
IRX1	0.0688449085634706	-6.54669486193507	40.1910883320191	52.8347894694843	474.002013813415	1068.66446115519	8.83246139260121	27.1659543171684	94.0711442489755	16.0712505015364
KCNC3	0.0688449085634706	3.2831563687517	73.8997430620996	122.354249297753	233.498528972126	181.335718188776	431.686550563384	545.78871855402	253.438729800181	697.377477120239
PCDH19	0.0688449085634706	-2.41706120620666	2036.78063772909	870.383637049925	1168.66013750549	971.362368468533	546.5085486672	279.068439803639	457.07508911561	863.255741225383
G0S2	0.0688449085634706	-2.29816104905112	113363.502343981	11815.5273924126	55248.0869400947	105672.83692171	38728.1350912081	3532.80887733722	24534.8611394769	84515.8365214187
DIRAS1	0.0691122333094017	5.70430521288216	44.0805484931822	38.9308975038305	38.5272572804007	218.929708544985	2719.2940512471	175.343886956269	106.245057034137	571.103366036739
OTOF	0.0691787856100237	3.93600543431419	27.2262211281419	79.2521842042265	30.3548087663763	16.0327311813247	72.8678064889599	1065.6462988962	123.952566539827	26.9767419132932
TREM2	0.0692804558745694	6.55217550684607	2.59297344077542	16.6846703587845	197.306256981446	699.911643984725	395.252647318904	60.505989160966	887.588913972687	1942.89939098931
GYS2	0.0692804558745694	-9.3260992611653	132.241645479547	343.426131551648	761.20520444913	37.0411375568535	17.6649227852024	13.5829771585842	24.3478255703231	51.6575908977955
HR	0.0694425062538797	-3.14489456745733	939.952872281091	1145.68069796987	491.514403486325	845.311930215359	389.732358948528	106.194185058022	198.102762594901	490.747113529057
ST5	0.0694425062538797	2.07864581049218	1503.92459564975	3069.97934601635	1629.81973222544	2445.82078435104	4068.45252896693	4430.5201859091	5578.9722136363	3431.21198207802
ABRACL	0.0697869380946764	1.99077166692538	608.052271861837	618.723192471592	667.80579286028	936.532642109103	936.240907615728	1410.15999228211	1180.86954016067	2364.76971665464
AGBL2	0.0703396853027651	3.80683378465485	35.0051414504682	45.8828434866574	18.6798823177701	33.1711679613614	48.5785376593066	434.655269074695	100.711460313609	97.001476241416
CYSTM1	0.0707797576844059	-1.8865333701799	6785.81149450929	4775.98689020207	7965.80231588406	9367.53783228845	3887.3870704186	1669.47137440053	5649.80225165905	5178.96047412009
FAM84A	0.0708790023487878	4.17471740894923	23.3367609669788	19.4654487519153	71.2170513364984	97.30209268666	386.420185926303	76.5585985302019	112.885373098771	331.182554978089
SLITRK5	0.0721035605913645	17.9167137555265	3.88946016116314	18.0750595553499	16.3448970280488	3.31711679613614	1328.18138191241	45.688195897056	52.0158091729629	231.311212575684
CD226	0.0721035605913645	2.96120026322624	27.2262211281419	84.813740990488	24.5173455420732	24.325523171665	78.3880948593357	412.42857917883	70.830038022758	45.9178585758182
TROAP	0.0723376608802586	4.86789209077346	20.7437875262034	273.906671723379	108.576815972038	38.6996959549216	600.607374696882	413.663395284155	427.193666824759	167.600183801736
