	FDR	FC	NF	WD
C3orf33	0.812283865585609	1.10995723189708	426.151996276587	469.142131165253
PPP2R2C	0.812627643201746	-1.34201514421846	43.5498196873205	24.4698603725198
TTI2	0.813179246611321	-1.09694537931586	550.726337331743	500.11021668162
RRAGD	0.813253603279852	-1.16885535263854	2993.75541481103	2210.33187763605
CCDC112	0.813253603279852	1.12450448738589	390.97365112861	433.136788477772
TTPAL	0.813371385509832	-1.16834346348178	2377.58423122869	1691.56425118661
AKT3	0.813622458320507	-1.14956306858999	2433.8166462779	1871.59875795469
COA5	0.81362966999973	1.09763368144767	1938.63001730505	2166.18847779681
PLB1	0.813643211063528	-1.14696252866071	597.183343275628	488.796402927605
GALNTL4	0.813643211063528	1.17136510629339	932.416838424317	1067.19864630113
TMEM128	0.813643211063528	-1.08398408461502	1753.08744095963	1626.7187639467
SFXN3	0.813643211063528	-1.10185704302608	5164.34076843838	4701.06216256925
UBA52	0.813643211063528	-1.09114905727335	34415.7223225306	32267.9405797182
RTP4	0.813663093036823	1.20876523271882	143.68293608685	198.307085333126
MLF1	0.813693130122168	-1.1931219812403	1900.56602571473	1825.97282466896
AC073043.2	0.813693130122168	-1.23357987466073	139.296674682767	89.7232072198713
CCL19	0.81380476231308	1.46448409770169	677.267671838352	735.110374759603
GRIK5	0.813835838310712	-1.30766390066901	72.855146179272	49.5330089181904
ZNF205	0.813835838310712	1.13600492300466	698.278105723399	842.416212310729
GOLGA8B	0.813835838310712	1.17243757368876	3586.09945795956	3410.76171523247
SEC23B	0.813937191265169	-1.07881900654108	3301.6478682197	3088.59933101715
OGFRL1	0.814334933669566	-1.12820280151698	1757.76605918728	1473.66825314896
LAMA4	0.814443468007892	1.1701176568693	51581.5865926432	48727.8231495576
ZNF335	0.814683403070229	-1.0934671823537	3372.38269817181	3079.51161108061
MCCC2	0.814683403070229	-1.09473143810428	5164.36092795016	4770.93658058718
RPLP2	0.814683403070229	-1.10323548050806	70216.1853932959	65225.7244158741
AAK1	0.814683403070229	-1.18851911996869	460.399140775524	367.632559161332
MRPS24	0.814683403070229	-1.10036194270758	3763.8778536746	3375.28476080575
PSMD4	0.814683403070229	-1.09758191091562	8777.39153841837	8061.09412437558
WDR70	0.814683403070229	1.06915339603851	2027.05935821446	2166.63873453319
CNST	0.814683449774249	1.09055482350977	3348.17007960507	3608.52286305502
FAM13B	0.814683449774249	-1.07951522210145	3037.16456895378	2823.8964016597
UPF3B	0.81472565616416	-1.10241188578804	1049.23216241366	953.823061751875
